,Star_name,Distance,Mass,Radius,Gravity
107,2MASSI J0103320+193536,70,34533557.323199995,2.0030769486e+29,5.744235725253274e-62
108,SDSSp J010752.33+004156.1 [de],51,34533557.323199995,2.0030769486e+29,5.744235725253274e-62
109,2MASSI J0117474-340325 [de],163,13282137.432,3.3112088334e+29,8.085018686371162e-63
110,2MASS J01415823-4633574 [de],130,13282137.432,3.2907692727e+29,8.18576561109235e-63
111,SDSS J015141.69+124429.6,70,31213022.9652,1.9826373879e+29,5.29950676428997e-62
112,SDSS J020742.48+000056.2 [de],111,31213022.9652,1.9826373879e+29,5.29950676428997e-62
113,2MASS J02103857-3015313,101,9961603.074,3.1272527870999998e+29,6.798129898921081e-63
114,2MASS J02340093-6442068,155,13282137.432,3.3112088334e+29,8.085018686371162e-63
115,2MASS J02411151-0326587 [de],152,17930885.5332,2.8819780587e+29,1.4408096224883983e-62
116,2MASS J02431371−2453298,35,21915526.762799997,2.0235165093e+29,3.5721082559785307e-62
117,LP 771-21,53,51800335.984799996,2.2074725556e+29,7.094603897290695e-62
118,Teegarden's star,12.578,53128549.728,2.5958242089e+29,5.2621546383563715e-62
119,2MASS J02535980+3206373,184,43166946.654,3.8835165329999994e+29,1.9102368388273012e-62
120,WISE J0254+0223,24,43166946.654,3.8835165329999994e+29,1.9102368388273012e-62
121,DEN 0255-4700,16.2,53128549.728,1.9826373879e+29,9.020437045599948e-62
122,2MASS J03185403-3421292 [de],45,32541236.7084,1.9826373879e+29,5.525017690429968e-62
123,2MASS J03205965+1854233,47,58441404.7008,2.3505494805e+29,7.059404263006042e-62
124,2MASS J03231002-4631237,192,15274458.0468,3.3929670761999996e+29,8.855084735298794e-63
125,SDSS J032553.17+042540.1,59,29884809.222000003,1.9417582664999997e+29,5.289886630598681e-62
126,2MASS J03264225-2102057 [de],80,11953923.6888,2.657142891e+29,1.1299698660627947e-62
127,2MASS J03284265+2302051 [de],98,35861771.0664,2.0030769486e+29,5.965167868532246e-62
128,2MASS J03341218-4953322,27,48479801.62679999,2.1257143128e+29,7.160399324877084e-62
129,LP 944-20,20.9,48479801.62679999,2.9228571801e+29,3.787318651174656e-62
130,2MASP J0345432+254023,88,49143908.4984,2.1461538735e+29,7.120888458040469e-62
131,Teide 1,380,36525877.938,7.726153944599999e+29,4.08375943852421e-63
132,2MASS J03510004-0052452,48,67738900.9032,2.5958242089e+29,6.709247163904374e-62
